,song name,album,artist,popularity,featured,release_date,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
0,Glimpse of Us,Glimpse of Us,Joji,93,Joji,2022-06-10,6xGruZOHLs39ZbVccQTuPZ,0.44,0.317,8,-9.258,1,0.0531,4.78e-06,0.141,0.268,169.914,233456,3,This Is Joji
1,SLOW DANCING IN THE DARK,BALLADS 1,Joji,84,Joji,2018-10-26,0rKtyWc8bvkriBthvHKY8d,0.515,0.479,3,-7.458,1,0.0261,0.00598,0.191,0.284,88.964,209274,4,This Is Joji
2,YUKON (INTERLUDE),YUKON (INTERLUDE),Joji,76,Joji,2022-08-26,6c1yUgFlhUHLAM9hSDkVBq,0.736,0.71,6,-8.497,0,0.091,0.0351,0.395,0.0728,82.482,141093,4,This Is Joji
3,worldstar money (interlude),In Tongues (Deluxe),Joji,78,Joji,2018-02-14,0baNzeUcPQnQSagpe8T0mD,0.577,0.387,7,-8.607,1,0.274,0.705,0.208,0.459,146.565,126312,1,This Is Joji
4,Sanctuary,Nectar,Joji,75,Joji,2020-09-24,5F1ZmucV0uJY14y2dYKePa,0.552,0.638,1,-7.474,1,0.11,0.00014,0.374,0.332,167.834,180019,4,This Is Joji
5,YEAH RIGHT,BALLADS 1,Joji,79,Joji,2018-10-26,1VGzxJnVQND7Cg5H5wGj14,0.672,0.588,1,-9.573,1,0.133,0.241,0.0992,0.204,169.033,174358,4,This Is Joji
6,Daylight,Daylight,Joji,71,Diplo,2020-08-06,6Ed1q0X8oSKSm4IIhiQbYg,0.528,0.749,7,-7.571,1,0.0479,9.6e-05,0.0949,0.729,163.944,163906,4,This Is Joji
7,Will He,In Tongues (Deluxe),Joji,73,Joji,2018-02-14,7wvwXi9Z66dcH5t202vVkN,0.618,0.217,10,-15.372,1,0.0515,0.000163,0.538,0.0872,116.014,202103,4,This Is Joji
8,Like You Do,Nectar,Joji,72,Joji,2020-09-25,1MONUudxAjEk76FJvzGhuD,0.582,0.199,10,-10.045,1,0.0321,0.00852,0.135,0.0783,66.454,240294,4,This Is Joji
9,CAN'T GET OVER YOU (feat. Clams Casino),BALLADS 1,Joji,70,Clams Casino,2018-10-26,39oeKRgsLeynDIbWuXyA47,0.9,0.316,9,-8.797,1,0.332,0.0771,0.0853,0.844,129.914,107077,4,This Is Joji
10,Midsummer Madness,Head In The Clouds,88rising,69,Higher Brothers,2018-07-20,6TodWdTSDfzwgYynTZSvJn,0.409,0.678,9,-7.731,1,0.0878,4.76e-06,0.167,0.168,89.968,280842,4,This Is Joji
11,Demons,In Tongues (Deluxe),Joji,67,Joji,2018-02-14,77UXyXy6qie0sOtLdEIH4A,0.458,0.378,2,-11.354,0,0.15,0.0919,0.0966,0.037,168.232,176804,3,This Is Joji
12,Run,Nectar,Joji,69,Joji,2020-09-25,3AkdSFo7quCZ781KCqNK0T,0.448,0.72,7,-3.954,1,0.0332,0.000292,0.614,0.361,157.919,195000,3,This Is Joji
13,ATTENTION,BALLADS 1,Joji,68,Joji,2018-10-26,5aqu5xhPqoOWqF71PkfgM8,0.787,0.312,7,-12.401,1,0.0383,0.0224,0.115,0.425,119.899,128888,4,This Is Joji
14,Head In The Clouds,Head In The Clouds,88rising,62,Joji,2018-07-20,3kYARoLSAvt86VFZ55BQcq,0.516,0.456,9,-9.242,1,0.0397,1.27e-05,0.0847,0.238,145.843,178023,4,This Is Joji
15,I Don't Wanna Waste My Time,In Tongues (Deluxe),Joji,66,Joji,2018-02-14,72Qo3U5apeuv91j9BEqJBM,0.403,0.234,4,-17.865,1,0.0531,0.0618,0.123,0.13,144.226,164430,4,This Is Joji
16,Ew,Nectar,Joji,69,Joji,2020-09-25,7xcUWyLh6fIMsYjoVI7NnZ,0.48,0.373,10,-9.297,1,0.0278,0.067,0.12,0.0376,114.078,207710,4,This Is Joji
17,TEST DRIVE,BALLADS 1,Joji,69,Joji,2018-10-26,1DMEzmAoQIikcL52psptQL,0.646,0.648,3,-8.602,1,0.0372,0.00316,0.108,0.466,75.004,179423,4,This Is Joji
18,Breathe,Head In The Clouds II,88rising,58,Don Krez,2019-10-11,1WI8MH3HPGjzpU0ywLahwt,0.538,0.52,7,-10.143,1,0.08,0.00912,0.301,0.0775,113.081,125468,3,This Is Joji
19,Window,In Tongues (Deluxe),Joji,63,Joji,2018-02-14,6dqiwfvxb1AM5y1vyVwaa0,0.643,0.329,1,-12.598,1,0.0898,0.665,0.0958,0.202,156.959,152375,4,This Is Joji
20,Afterthought,Nectar,Joji,68,BENEE,2020-09-25,6zvqq50PL7io0rprbkrYc9,0.668,0.547,1,-8.024,1,0.0353,0.0766,0.0931,0.192,83.5,194871,4,This Is Joji
21,WANTED U,BALLADS 1,Joji,70,Joji,2018-10-26,0Y9D1Bc4fAkeZnVsGKdij6,0.305,0.715,7,-7.54,1,0.0554,0.0495,0.0906,0.29,82.977,251015,4,This Is Joji
22,Walking (feat. Swae Lee & Major Lazer),Head In The Clouds II,88rising,61,Major Lazer,2019-10-11,1qbXrxctv75pm1lWCn6Zw3,0.701,0.663,6,-7.227,1,0.202,1.04e-05,0.131,0.334,100.001,167080,4,This Is Joji
23,Pills,In Tongues (Deluxe),Joji,61,Joji,2018-02-14,5xwKCPdE3kyU0XwqfbyQsx,0.454,0.407,11,-10.733,1,0.0739,0.774,0.117,0.242,81.401,187134,3,This Is Joji
24,Gimme Love,Nectar,Joji,69,Joji,2020-09-25,0HItcI6qN6Dr4MC3CZryQh,0.484,0.632,5,-6.917,1,0.0976,0.0243,0.209,0.0736,126.384,214558,3,This Is Joji
25,Thinking Bout You,Xeno,rei brown,57,Joji,2022-07-08,7HJbpVOycx32pDjWvpF9hp,0.67,0.711,9,-7.786,1,0.0563,0.00149,0.242,0.509,163.998,190947,4,This Is Joji
26,From You,Fragments,Bonobo,56,Joji,2022-01-14,6t2gHlvw7kTK6M7M5f7S6K,0.655,0.499,0,-10.039,0,0.0433,0.763,0.111,0.255,140.022,210280,4,This Is Joji
27,Introvert (feat. Joji),Amen,Rich Brian,60,Joji,2018-02-02,3qbqWUDl9j09PeBaQ6CZgr,0.836,0.686,1,-4.673,1,0.0413,0.00231,0.0681,0.632,110.029,222259,4,This Is Joji
28,Besidju,Besidju,shamana,55,Joji,2016-11-11,3nUyfV0XhG8sysUfgEDmdI,0.747,0.413,5,-15.392,0,0.409,0.000792,0.123,0.221,105.053,107442,4,This Is Joji
29,La Cienega,Head In The Clouds,88rising,58,NIKI,2018-07-20,3iGz75NJkqHubYUMRELLyP,0.61,0.318,8,-9.95,1,0.148,0.000617,0.102,0.214,109.491,192607,3,This Is Joji
30,Think About U (feat. Joji),Elsewhere,Ryan Hemsworth,55,Joji,2018-09-21,4yakjUoss5rjOdPWQ8mW6Q,0.324,0.353,0,-10.119,1,0.0335,0.139,0.262,0.0569,121.788,168975,4,This Is Joji
31,Gates to the Sun (POLLEN Singles),Gates to the Sun (POLLEN Singles),SahBabii,57,Joji,2020-09-16,6EG0w98d2S1u1copDAHDqP,0.717,0.459,4,-11.101,1,0.236,0.0123,0.143,0.373,143.948,135748,4,This Is Joji
32,Where Does The Time Go (feat. Joji),The Sailor,Rich Brian,54,Joji,2019-07-26,0D7EgPJwNzBTSej80OveHZ,0.642,0.553,2,-6.573,1,0.0265,9.79e-06,0.112,0.129,139.925,251289,4,This Is Joji
33,Peach Jam,Head In The Clouds,88rising,56,BlocBoy JB,2018-07-20,6dktyiCWz2JYGmcPQ5D5dY,0.857,0.668,7,-6.816,1,0.052,0.000595,0.101,0.624,89.986,161713,4,This Is Joji
34,Keeping Tabs,Nicole,NIKI,64,NIKI,2022-08-12,2zz4plJxtgMIsQg5SMl2Bg,0.651,0.627,7,-6.842,1,0.164,0,0.0941,0.441,169.955,177720,4,This Is NIKI
35,Oceans & Engines,Oceans & Engines,NIKI,71,NIKI,2022-07-08,3vZk7OAUjMtVDNC852aNqi,0.395,0.309,1,-8.919,1,0.033,2.17e-05,0.0931,0.0673,142.012,336001,3,This Is NIKI
36,High School in Jakarta,High School in Jakarta,NIKI,76,NIKI,2022-08-05,5rbuv6zso7QSaKt265H3M3,0.871,0.485,7,-8.294,0,0.0411,7.37e-05,0.169,0.494,119.976,219036,4,This Is NIKI
37,Every Summertime,Every Summertime,NIKI,79,NIKI,2021-08-10,68HocO7fx9z0MgDU0ZPHro,0.628,0.676,6,-4.227,1,0.0424,6.94e-05,0.0978,0.723,78.996,215687,4,This Is NIKI
38,lowkey,lowkey,NIKI,77,NIKI,2019-04-24,5TTXEcfsYLh6fTarLaevTi,0.752,0.494,0,-8.18,1,0.0559,0,0.0869,0.227,117.901,171356,4,This Is NIKI
39,I Like U,I Like U,NIKI,71,NIKI,2017-09-27,6f7BE3VcZScJx6n3wsf5Z3,0.48,0.526,5,-7.099,1,0.275,0,0.0879,0.374,199.662,267733,3,This Is NIKI
40,urs,wanna take this downtown?,NIKI,68,NIKI,2019-05-17,50oEtTUNlce4TuZXQoJzXW,0.72,0.415,0,-9.527,1,0.354,1.01e-06,0.0893,0.235,94.88,156501,4,This Is NIKI
41,Before,Before,NIKI,56,NIKI,2022-06-03,3z6Gmz2jadZZ9y5FOIWAqF,0.67,0.602,10,-8.731,1,0.131,6.66e-05,0.119,0.321,140.012,234058,4,This Is NIKI
42,Lose,MOONCHILD,NIKI,65,NIKI,2020-09-10,5vPO5ouEv8iedKWxzmSv7b,0.41,0.316,0,-8.13,1,0.029,0,0.124,0.22,133.288,256001,4,This Is NIKI
43,California (feat. Warren Hue),California (feat. Warren Hue),88rising,62,Warren Hue,2021-05-27,3Qj2f7BrpJNGj3dbxKpOlp,0.743,0.631,7,-5.815,0,0.0302,0,0.0963,0.428,141.955,230395,4,This Is NIKI
44,La La Lost You - Acoustic Version,NIKI Acoustic Sessions: Head In The Clouds II,NIKI,70,88rising,2019-08-11,5WkCcSa78lM1Ym4LXzJUiN,0.606,0.196,1,-11.652,1,0.0553,0,0.348,0.391,100.873,208511,4,This Is NIKI
45,La La Lost You,Head In The Clouds II,88rising,67,NIKI,2019-10-11,5Htq8DDDN0Xce9MwqzAzui,0.721,0.582,2,-8.251,1,0.0411,0.000559,0.065,0.487,100.083,200000,4,This Is NIKI
46,Vintage,Zephyr,NIKI,61,NIKI,2018-05-23,1NCUe90ZCiWTnWn3umrwqw,0.771,0.816,2,-7.104,1,0.0581,0.000963,0.339,0.438,104.958,177320,4,This Is NIKI
47,Chilly,Chilly,NIKI,57,NIKI,2017-12-18,6H3TW6uEe3RxW8CcnXJfq2,0.734,0.271,7,-11.932,1,0.382,5.27e-06,0.101,0.237,103.241,230000,3,This Is NIKI
48,La Cienega,Head In The Clouds,88rising,58,NIKI,2018-07-20,3iGz75NJkqHubYUMRELLyP,0.61,0.318,8,-9.95,1,0.148,0.000617,0.102,0.214,109.491,192607,3,This Is NIKI
49,Split,Split,88rising,62,NIKI,2021-11-18,7AE1oyRpPGoSwDs8b9XBO0,0.691,0.509,8,-8.343,1,0.0352,0.00682,0.0885,0.473,113.961,207014,3,This Is NIKI
50,Around,Zephyr,NIKI,56,NIKI,2018-05-23,6tv9CzrMUHQFrm9VHHO1hv,0.485,0.125,0,-16.486,1,0.0438,3.88e-06,0.108,0.153,130.234,183547,4,This Is NIKI
51,Indigo,Head In The Clouds II,88rising,62,NIKI,2019-10-11,349Wc5mDu52d4Uv8Eg9WZv,0.819,0.664,7,-5.612,1,0.0828,1.75e-06,0.263,0.71,144.988,173473,4,This Is NIKI
52,See U Never,See U Never,NIKI,54,NIKI,2017-07-11,5nPdol1JZWJqG4OSHVzSCF,0.795,0.735,11,-4.628,0,0.037,0,0.0719,0.243,129.982,221620,4,This Is NIKI
53,odds,wanna take this downtown?,NIKI,49,NIKI,2019-05-17,6PUtUVzOu0Wj6RvoJKini9,0.593,0.469,0,-7.44,1,0.527,0,0.141,0.401,165.038,183272,4,This Is NIKI
54,Dancing With The Devil,Zephyr,NIKI,50,NIKI,2018-05-23,6sjlDvvIQskeRtipoastyN,0.76,0.558,5,-8.105,0,0.0455,0.00321,0.119,0.462,102.057,162467,4,This Is NIKI
55,Pandemonium,MOONCHILD,NIKI,48,NIKI,2020-09-10,3VcvuUeWhOP0LAxtaRpWe5,0.699,0.515,8,-7.898,0,0.0452,0.13,0.164,0.517,78.0,227000,4,This Is NIKI
56,California (feat. Jackson Wang & Warren Hue) - [Remix],California (feat. Jackson Wang & Warren Hue) [Remix],88rising,52,Jackson Wang,2021-07-15,1SZcEr3Wo7vvK4UUn3bi8v,0.773,0.629,7,-6.232,0,0.0283,1.11e-06,0.189,0.589,141.958,273927,4,This Is NIKI
57,Strange Land - Acoustic Version,NIKI Acoustic Sessions: Head In The Clouds II,NIKI,50,88rising,2019-08-11,11cqsCFJayk8dLyJqPvGvp,0.505,0.207,9,-14.205,0,0.0535,7.28e-05,0.126,0.185,74.839,173420,4,This Is NIKI
58,Say My Name,Zephyr,NIKI,51,NIKI,2018-05-23,6RwOlJGjOcJavqKxqpYT73,0.637,0.457,6,-10.11,0,0.07,2.73e-05,0.0969,0.314,149.893,192453,4,This Is NIKI
59,Plans (feat. Vory),Head In The Clouds,88rising,51,Vory,2018-07-20,2W8d6AkRCP2qD89z1zK5MJ,0.917,0.541,0,-8.345,1,0.0944,3.25e-05,0.0409,0.752,101.005,138391,4,This Is NIKI
60,Little Prince (feat. NIKI),Amen,Rich Brian,49,NIKI,2018-02-02,3jKJnHixssQxdCShjpirKQ,0.909,0.414,0,-7.337,1,0.0514,2.49e-05,0.109,0.761,139.963,172445,4,This Is NIKI
61,Shouldn't Couldn't Wouldn't - Acoustic Version,NIKI Acoustic Sessions: Head In The Clouds II,NIKI,50,88rising,2019-08-11,6tzaG5ceUaujYRR1pdTZcv,0.636,0.21,4,-7.438,1,0.0377,0,0.0837,0.25,76.379,162000,3,This Is NIKI
62,Newsflash!,Zephyr,NIKI,52,NIKI,2018-05-23,4jbA7VSQHZeWLktuUuHWbz,0.734,0.373,7,-8.997,0,0.146,0,0.0913,0.481,79.998,204427,4,This Is NIKI
63,COMING HOME (feat. NIKI),"LET’S JUST SAY THE WORLD ENDED A WEEK FROM NOW, WHAT WOULD YOU DO?",HONNE,58,NIKI,2021-10-22,2Fi2cetg7bOf46lBRyAgHl,0.826,0.329,2,-10.015,1,0.0765,0.000878,0.0927,0.558,106.935,210020,4,This Is NIKI
64,Plot Twist,MOONCHILD,NIKI,54,NIKI,2020-09-09,5wDbCy1UXyCV79jpTm4xyF,0.801,0.488,6,-9.609,1,0.0618,0.00855,0.0902,0.357,96.987,207213,4,This Is NIKI
65,Shouldn't Couldn't Wouldn't,Head In The Clouds II,88rising,52,Rich Brian,2019-10-11,16ox7ZM0ozbzBOTjFecYuY,0.454,0.379,5,-8.199,1,0.132,2.53e-06,0.0837,0.275,169.055,195052,3,This Is NIKI
66,Spell,Zephyr,NIKI,49,NIKI,2018-05-23,2Nle18pvNRfHpO8hmeJQrP,0.736,0.359,2,-13.498,1,0.0515,7.93e-05,0.109,0.414,132.011,226813,4,This Is NIKI
67,move!,wanna take this downtown?,NIKI,49,NIKI,2019-05-17,39rYdh4MkbRdoA7jvMUYYN,0.829,0.49,6,-7.003,1,0.508,0,0.0861,0.801,126.922,156177,4,This Is NIKI
68,Switchblade,MOONCHILD,NIKI,45,NIKI,2020-09-10,7b6z03ctOD39o4Cez0wr0X,0.694,0.69,6,-6.248,1,0.0845,0.000674,0.0397,0.304,97.027,204299,4,This Is NIKI
69,Strange Land,Head In The Clouds II,88rising,53,Phum Viphurit,2019-10-11,5DrCWAaQ8zklweBa9abFIu,0.65,0.265,1,-15.357,1,0.0503,0.385,0.115,0.156,75.002,175734,4,This Is NIKI
70,Warpaint,Head In The Clouds,88rising,46,NIKI,2018-07-20,3j1fOrxmfuym91Cf9v397b,0.68,0.658,1,-5.356,1,0.0535,0.0324,0.109,0.278,128.921,213788,4,This Is NIKI
71,Swan Song,Shang-Chi and The Legend of The Ten Rings: The Album,88rising,50,NIKI,2021-09-03,790TzR1UxBXVMFSGq8p7bv,0.714,0.587,5,-5.124,0,0.0401,0,0.167,0.542,151.898,167587,4,This Is NIKI
72,Drive On,MOONCHILD,NIKI,44,NIKI,2020-09-10,6dB4Y5ydC6cc7jsqr71ip8,0.681,0.413,2,-10.312,1,0.0316,0.00112,0.0978,0.226,114.994,217693,4,This Is NIKI
73,Hallway Weather,Hallway Weather,NIKI,46,NIKI,2020-12-15,0XYC5esjcwkqAYVtPvEUST,0.507,0.359,7,-10.74,1,0.0268,0,0.0904,0.165,139.561,233673,4,This Is NIKI
74,Selene,Selene,NIKI,47,NIKI,2020-07-16,0h11wE1hTwKMxYd1NACgNb,0.798,0.504,11,-9.082,0,0.214,0.00448,0.0825,0.548,110.022,197455,4,This Is NIKI
75,Always Rising,Shang-Chi and The Legend of The Ten Rings: The Album,88rising,50,Warren Hue,2021-09-03,7m4xUEEivwPGz4U0TA1TWD,0.376,0.694,5,-6.381,1,0.261,1.93e-06,0.102,0.0399,75.625,184080,4,This Is NIKI
76,If There's Nothing Left...,MOONCHILD,NIKI,43,NIKI,2020-09-10,5UKViIqKCbWcZnGEALL3GE,0.499,0.396,4,-9.256,1,0.047,0.000887,0.0946,0.287,80.025,210440,4,This Is NIKI
77,I Want In,Head In The Clouds,88rising,41,NIKI,2018-07-20,5ZaaHM8HRizjncGBAIfK0C,0.493,0.69,7,-4.768,1,0.275,0,0.126,0.478,76.85,150295,5,This Is NIKI
78,No More (feat. NIKI),Five Stars,Higher Brothers,38,NIKI,2019-02-22,7lxcmd6V6iFDgtw9urFsGB,0.75,0.651,10,-6.684,0,0.11,2.15e-06,0.0776,0.61,142.118,229859,4,This Is NIKI
79,Clocked Out!,Shang-Chi and The Legend of The Ten Rings: The Album,88rising,44,NIKI,2021-09-03,4aZXxStzucuminkE8up916,0.743,0.72,0,-7.789,1,0.14,0.00333,0.287,0.117,127.983,190080,4,This Is NIKI
80,Forever (feat. NIKI),Chameleon,End of the World,33,NIKI,2020-11-27,2wyp1XPf7VKe7mTljnsMs8,0.582,0.762,11,-5.792,1,0.0633,0,0.364,0.372,81.009,176187,4,This Is NIKI
81,Poolside Manor,Head In The Clouds,88rising,39,NIKI,2018-07-20,6XexzlVsjQOuNQ5pcfWOdq,0.588,0.541,10,-7.212,1,0.0626,0,0.107,0.0816,77.478,170527,4,This Is NIKI
82,New Tooth,New Tooth,Rich Brian,50,Rich Brian,2021-11-04,2cyD0OE6HQwSk2nmDcQx1O,0.788,0.678,4,-8.584,0,0.0386,0.233,0.141,0.39,120.019,220000,4,This Is Rich Brian
83,Run It (feat. Rick Ross & Rich Brian),Shang-Chi and The Legend of The Ten Rings: The Album,88rising,68,Rich Brian,2021-09-03,5x4vgABKiGp4Vg7ZyFRxhn,0.688,0.725,2,-7.806,1,0.044,7.63e-06,0.0726,0.225,104.006,163373,4,This Is Rich Brian
84,Lazy Susan (with Rich Brian feat. Warren Hue & Masiwei),Shang-Chi and The Legend of The Ten Rings: The Album,88rising,51,Masiwei,2021-09-03,2XbG1IRDzoQQzLJSmwWIqC,0.766,0.825,11,-5.622,0,0.299,0.0,0.102,0.646,155.967,279960,4,This Is Rich Brian
85,edamame (feat. Rich Brian),edamame (feat. Rich Brian),bbno$,75,Rich Brian,2021-07-24,1uMHCAyGmHqyygoNRuo7MV,0.815,0.848,4,-4.704,0,0.115,0.000162,0.0265,0.684,106.032,133707,4,This Is Rich Brian
86,Sydney,Sydney,Rich Brian,46,Rich Brian,2021-03-16,3OzZSSRbdIr1Jojw1rHUB1,0.62,0.476,11,-12.759,0,0.0724,0.0,0.135,0.602,161.168,194240,4,This Is Rich Brian
87,DOA,1999,Rich Brian,45,Rich Brian,2020-08-24,1nTvyaoTiHhsAiEMaWk2Ik,0.603,0.611,0,-7.787,0,0.0478,0.0,0.109,0.317,86.001,161163,4,This Is Rich Brian
88,Don't Care,Don't Care,Rich Brian,43,Rich Brian,2020-08-18,5ikdrhBackb0NBru3psf0o,0.642,0.569,1,-9.38,1,0.0476,0.0,0.105,0.194,140.095,164571,4,This Is Rich Brian
89,Love In My Pocket,Love In My Pocket,Rich Brian,41,Rich Brian,2020-07-09,4Ep8QJvoIyQdiMPT2dCORB,0.829,0.597,0,-7.962,0,0.0345,0.0,0.11,0.782,113.011,223093,4,This Is Rich Brian
90,BALI,BALI,Rich Brian,39,Guapdad 4000,2020-04-09,3lm8jJdsH8Gxs0qwKljoGb,0.864,0.642,5,-6.342,0,0.0514,0.0,0.22,0.622,129.995,199385,4,This Is Rich Brian
91,TITANIC (feat. Rich Brian),MIRRORS,Jackson Wang,53,Rich Brian,2019-10-25,6k6pPAqLxleqb3fbMtVjxe,0.894,0.748,11,-8.22,0,0.338,0.0,0.057,0.697,99.983,141147,4,This Is Rich Brian
92,2 The Face,Head In The Clouds II,88rising,42,Higher Brothers,2019-10-11,01ibNvCrbTdwOcqIcroORv,0.649,0.684,10,-7.601,0,0.0814,1.18e-05,0.141,0.342,171.994,151532,4,This Is Rich Brian
93,Dat $tick,Dat $tick,Rich Brian,62,Rich Brian,2016-03-11,4bdJHQp90ymjEIkkYhcENB,0.923,0.508,1,-8.668,1,0.0468,1.21e-05,0.126,0.168,108.039,126667,4,This Is Rich Brian
94,Hopscotch (feat. Barney Bones & Rich Brian),Head In The Clouds II,88rising,42,Barney Bones,2019-10-11,1ku9v2nPDKK39L764uUlVI,0.905,0.609,1,-7.642,0,0.308,0.000224,0.153,0.447,85.04,205787,4,This Is Rich Brian
95,These Nights,Head In The Clouds II,88rising,48,CHUNG HA,2019-10-11,5795rPYTG0IWVfSJoptauo,0.656,0.673,6,-6.588,1,0.0477,0.0199,0.28,0.494,83.018,223007,4,This Is Rich Brian
96,Glow Like Dat,Glow Like Dat,Rich Brian,50,Rich Brian,2017-08-15,4Tulf6yVo59f2ofSi3YUqW,0.787,0.586,10,-9.64,1,0.0695,0.000311,0.118,0.581,140.036,210862,4,This Is Rich Brian
97,Rapapapa (feat. RZA),The Sailor,Rich Brian,50,RZA,2019-07-26,7sPoDigIbCWDS6AZmOhSRR,0.782,0.752,3,-4.622,0,0.214,0.0,0.114,0.504,126.936,247166,4,This Is Rich Brian
